image,label
images/18353.jpg,asimina_triloba
images/18354.jpg,quercus_montana
images/18355.jpg,quercus_shumardii
images/18356.jpg,pinus_bungeana
images/18357.jpg,crataegus_phaenopyrum
images/18358.jpg,koelreuteria_paniculata
images/18359.jpg,magnolia_stellata
images/18360.jpg,metasequoia_glyptostroboides
images/18361.jpg,larix_decidua
images/18362.jpg,prunus_serotina
images/18363.jpg,picea_orientalis
images/18364.jpg,quercus_robur
images/18365.jpg,asimina_triloba
images/18366.jpg,castanea_dentata
images/18367.jpg,prunus_virginiana
images/18368.jpg,metasequoia_glyptostroboides
images/18369.jpg,picea_orientalis
images/18370.jpg,chionanthus_virginicus
images/18371.jpg,pinus_cembra
images/18372.jpg,cryptomeria_japonica
images/18373.jpg,fraxinus_pennsylvanica
images/18374.jpg,catalpa_bignonioides
images/18375.jpg,cercis_canadensis
images/18376.jpg,pinus_wallichiana
images/18377.jpg,halesia_tetraptera
images/18378.jpg,liriodendron_tulipifera
images/18379.jpg,cedrus_atlantica
images/18380.jpg,pinus_bungeana
images/18381.jpg,quercus_montana
images/18382.jpg,fagus_grandifolia
images/18383.jpg,pinus_wallichiana
images/18384.jpg,paulownia_tomentosa
images/18385.jpg,prunus_serotina
images/18386.jpg,pinus_flexilis
images/18387.jpg,chionanthus_virginicus
images/18388.jpg,prunus_serotina
images/18389.jpg,magnolia_macrophylla
images/18390.jpg,acer_palmatum
images/18391.jpg,picea_orientalis
images/18392.jpg,cedrus_atlantica
images/18393.jpg,ilex_opaca
images/18394.jpg,liriodendron_tulipifera
images/18395.jpg,juglans_cinerea
images/18396.jpg,pinus_rigida
images/18397.jpg,gleditsia_triacanthos
images/18398.jpg,malus_baccata
images/18399.jpg,carya_ovata
images/18400.jpg,crataegus_phaenopyrum
images/18401.jpg,pinus_wallichiana
images/18402.jpg,chionanthus_virginicus
images/18403.jpg,amelanchier_laevis
images/18404.jpg,prunus_virginiana
images/18405.jpg,quercus_velutina
images/18406.jpg,pinus_peucea
images/18407.jpg,salix_caroliniana
images/18408.jpg,maclura_pomifera
images/18409.jpg,liquidambar_styraciflua
images/18410.jpg,acer_pensylvanicum
images/18411.jpg,diospyros_virginiana
images/18412.jpg,tilia_cordata
images/18413.jpg,broussonettia_papyrifera
images/18414.jpg,zelkova_serrata
images/18415.jpg,quercus_alba
images/18416.jpg,quercus_nigra
images/18417.jpg,populus_deltoides
images/18418.jpg,pseudolarix_amabilis
images/18419.jpg,picea_orientalis
images/18420.jpg,prunus_virginiana
images/18421.jpg,magnolia_denudata
images/18422.jpg,larix_decidua
images/18423.jpg,pinus_densiflora
images/18424.jpg,picea_orientalis
images/18425.jpg,juglans_cinerea
images/18426.jpg,maclura_pomifera
images/18427.jpg,quercus_montana
images/18428.jpg,metasequoia_glyptostroboides
images/18429.jpg,acer_palmatum
images/18430.jpg,fagus_grandifolia
images/18431.jpg,quercus_marilandica
images/18432.jpg,pseudolarix_amabilis
images/18433.jpg,pinus_bungeana
images/18434.jpg,pinus_pungens
images/18435.jpg,populus_tremuloides
images/18436.jpg,salix_caroliniana
images/18437.jpg,larix_decidua
images/18438.jpg,quercus_montana
images/18439.jpg,salix_babylonica
images/18440.jpg,magnolia_denudata
images/18441.jpg,pinus_rigida
images/18442.jpg,pinus_peucea
images/18443.jpg,carya_ovata
images/18444.jpg,pinus_nigra
images/18445.jpg,salix_nigra
images/18446.jpg,acer_negundo
images/18447.jpg,tilia_tomentosa
images/18448.jpg,liquidambar_styraciflua
images/18449.jpg,picea_orientalis
images/18450.jpg,fagus_grandifolia
images/18451.jpg,catalpa_speciosa
images/18452.jpg,ulmus_americana
images/18453.jpg,pinus_koraiensis
images/18454.jpg,quercus_nigra
images/18455.jpg,quercus_cerris
images/18456.jpg,quercus_imbricaria
images/18457.jpg,chionanthus_virginicus
images/18458.jpg,magnolia_macrophylla
images/18459.jpg,cedrus_atlantica
images/18460.jpg,quercus_montana
images/18461.jpg,pinus_parviflora
images/18462.jpg,eucommia_ulmoides
images/18463.jpg,acer_pensylvanicum
images/18464.jpg,populus_deltoides
images/18465.jpg,crataegus_phaenopyrum
images/18466.jpg,salix_nigra
images/18467.jpg,phellodendron_amurense
images/18468.jpg,prunus_virginiana
images/18469.jpg,aesculus_flava
images/18470.jpg,magnolia_stellata
images/18471.jpg,populus_deltoides
images/18472.jpg,ailanthus_altissima
images/18473.jpg,magnolia_acuminata
images/18474.jpg,pinus_resinosa
images/18475.jpg,stewartia_pseudocamellia
images/18476.jpg,ulmus_parvifolia
images/18477.jpg,prunus_virginiana
images/18478.jpg,salix_caroliniana
images/18479.jpg,juglans_cinerea
images/18480.jpg,pinus_thunbergii
images/18481.jpg,juniperus_virginiana
images/18482.jpg,populus_tremuloides
images/18483.jpg,salix_caroliniana
images/18484.jpg,asimina_triloba
images/18485.jpg,larix_decidua
images/18486.jpg,evodia_daniellii
images/18487.jpg,taxodium_distichum
images/18488.jpg,crataegus_phaenopyrum
images/18489.jpg,platanus_acerifolia
images/18490.jpg,catalpa_speciosa
images/18491.jpg,salix_nigra
images/18492.jpg,quercus_robur
images/18493.jpg,pseudolarix_amabilis
images/18494.jpg,pinus_bungeana
images/18495.jpg,ulmus_rubra
images/18496.jpg,malus_baccata
images/18497.jpg,taxodium_distichum
images/18498.jpg,liriodendron_tulipifera
images/18499.jpg,prunus_serotina
images/18500.jpg,prunus_serotina
images/18501.jpg,zelkova_serrata
images/18502.jpg,cornus_florida
images/18503.jpg,paulownia_tomentosa
images/18504.jpg,fagus_grandifolia
images/18505.jpg,staphylea_trifolia
images/18506.jpg,koelreuteria_paniculata
images/18507.jpg,evodia_daniellii
images/18508.jpg,abies_nordmanniana
images/18509.jpg,castanea_dentata
images/18510.jpg,platanus_occidentalis
images/18511.jpg,quercus_montana
images/18512.jpg,ulmus_rubra
images/18513.jpg,salix_nigra
images/18514.jpg,malus_hupehensis
images/18515.jpg,magnolia_grandiflora
images/18516.jpg,carya_tomentosa
images/18517.jpg,salix_caroliniana
images/18518.jpg,liriodendron_tulipifera
images/18519.jpg,amelanchier_canadensis
images/18520.jpg,carya_ovata
images/18521.jpg,quercus_cerris
images/18522.jpg,juglans_cinerea
images/18523.jpg,maclura_pomifera
images/18524.jpg,pyrus_calleryana
